title                                             ,artist                                                                                                                                               ,track ,comment                                                                      ,discs ,album                         ,genres     ,band           ,year  ,sourceurl                                   ,originalartist           ,originallyricist             ,lyricist                                                                                                            ,tracks ,discsubtitle                                    ,composer                                                                                                        ,disc
Equestria Girls Original Theme                    ,Sophia Montero;Angelic                                                                                                                               ,    01,                                                                             ,     8,Equestria Girls               ,Soundtrack ,My Little Pony ,  2017,                                            ,                         ,                             ,Daniel Ingram                                                                                                       ,      9,Forgotten Friendship                            ,Daniel Ingram                                                                                                   ,    6
Five to Nine                                      ,Applejack                                                                                                                                            ,    03,                                                                             ,     8,Equestria Girls               ,Soundtrack ,My Little Pony ,  2018,                                            ,                         ,                             ,Gillian M. Berrow                                                                                                   ,      9,Better Together Season 1                        ,Mason Rather                                                                                                    ,    7
Rise Up!                                          ,Twilight Sparkle;Sci-Twi;Sunset Shimmer;Fluttershy;Rainbow Dash;Applejack;Pinkie Pie;Rarity                                                          ,    01,                                                                             ,     8,Equestria Girls               ,Soundtrack ,My Little Pony ,  2017,                                            ,                         ,                             ,Daniel Ingram;Gillian M. Berrow                                                                                     ,      9,Better Together Season 1                        ,Daniel Ingram                                                                                                   ,    7
Room to Grow                                      ,Twilight Sparkle;Sci-Twi;Singing Plants                                                                                                              ,    02,                                                                             ,     8,Equestria Girls               ,Soundtrack ,My Little Pony ,  2017,                                            ,                         ,                             ,Daniel Ingram                                                                                                       ,      9,Better Together Season 1                        ,Daniel Ingram                                                                                                   ,    7
So Much More to Me (Demo)                         ,Fluttershy                                                                                                                                           ,    05,                                                                             ,     8,Equestria Girls               ,Soundtrack ,My Little Pony ,  2018,                                            ,                         ,                             ,Kate Leth                                                                                                           ,      9,Better Together Season 1                        ,Mason Rather                                                                                                    ,    7
So Much More to Me                                ,Fluttershy                                                                                                                                           ,    04,                                                                             ,     8,Equestria Girls               ,Soundtrack ,My Little Pony ,  2018,                                            ,                         ,                             ,Kate Leth                                                                                                           ,      9,Better Together Season 1                        ,Mason Rather                                                                                                    ,    7
The Other Side                                    ,Rarity                                                                                                                                               ,    06,                                                                             ,     8,Equestria Girls               ,Soundtrack ,My Little Pony ,  2018,                                            ,                         ,                             ,John Jennings Boyd;Lisette Bustamante                                                                               ,      9,Better Together Season 1                        ,John Jennings Boyd;Lisette Bustamante                                                                           ,    7
All Good                                          ,The Rainbooms;Rainbow Dash;Twilight Sparkle;Sci-Twi;Rarity;Applejack;Pinkie Pie;Sunset Shimmer;Fluttershy;                                           ,    08,                                                                             ,     8,Equestria Girls               ,Soundtrack ,My Little Pony ,  2019,                                            ,                         ,                             ,Jessica Vaughn;Jess Furman;Ethan Roberts                                                                            ,      9,Better Together Season 1                        ,Jessica Vaughn;Jess Furman;Ethan Roberts                                                                        ,    7
Cheer You On                                      ,Flash Sentry;Sandalwood                                                                                                                              ,    06,                                                                             ,     8,Equestria Girls               ,Soundtrack ,My Little Pony ,  2019,                                            ,                         ,                             ,Jessica Vaughn;Jess Furman;John Jennings Boyd                                                                       ,      9,Better Together Season 2/Choose Your Own Ending ,Jessica Vaughn;Jess Furman;John Jennings Boyd                                                                   ,    8
Find the Magic                                    ,The Dazzlings;Adagio Dazzle;Aria Blaze;Sonata Dusk                                                                                                   ,    03,                                                                             ,     8,Equestria Girls               ,Soundtrack ,My Little Pony ,  2019,                                            ,                         ,                             ,Jessica Vaughn;Jess Furman;Jarl Aanestad                                                                            ,      9,Better Together Season 2/Choose Your Own Ending ,Jessica Vaughn;Jess Furman;Jarl Aanestad                                                                        ,    8
